Country and areas,Income Group,ISO code,Region,Sub-region,Survey year,Year*,Corr - UW vs Stunt,Corr - UW vs Wast,Corr UW vs SW,Overweight,Rural,Severe wasting,Stunting,Survey sample size (N),Type of Impacts,Under 5 population,Under 5 Stunt,Underweight,Urban,Wasting
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,1992,1992,,,,7.2,4.1,1.3,38,5535,3.9,131239.778,0.000289546,14.2,2.3,3.9
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,1995,1995,,,,13.6,30.8,1.8,31.2,2832,5,103277.822,0.000302098,10.7,10.4,5
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,1998,1998,,,,5.5,15.3,0.6,19.8,13838,2.4,82804.567,0.000239117,6.9,9.8,2.4
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2000,2000,,,,3.4,,0.5,17.8,16460,2.5,81757.544,0.000217717,7.4,,2.5
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2002,2002,,,,9.2,1.4,0.8,21.8,16564,3,82161.492,0.000265331,6.8,1.3,3
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2005,2005,,,,5.9,1.3,0.8,11.7,15987,2.9,79269.322,0.000147598,4.5,1,2.9
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2008,2008,,,,5.8,1.6,0.6,9.8,10726,2.6,81658.419,0.000120012,3.8,1.9,2.6
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2009,2009,,,,5.7,1.4,0.7,9,10635,2.6,81971.341,0.000109794,3.4,1,2.6
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2010,2010,,,,6.6,0.9,0.7,9.4,15399,2.3,82581.426,0.000113827,3.4,1.6,2.3
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,2013,2013,,,,9.1,1.6,,8.1,28840,1.9,84981.605,9.53E-05,2.4,1.9,1.9
COLOMBIA,Upper Middle Income,COL,Latin America and the Caribbean,South America,1986,1986,,,,4.2,,0.3,26.6,1317,1,4301.99,0.006183185,8.9,,1
COLOMBIA,Upper Middle Income,COL,Latin America and the Caribbean,South America,1989,1989,,,,,5.4,,21.8,1973,3.8,4334.596,0.005029304,8.8,1.9,3.8
COLOMBIA,Upper Middle Income,COL,Latin America and the Caribbean,South America,1995,1995,,,,4.504571,1.2,0.54772824,19.593763,4457.9863,1.6640379,4351.073,0.004503203,6.2918067,0.7,1.6640379
COLOMBIA,Upper Middle Income,COL,Latin America and the Caribbean,South America,2000,2000,,,,5.3448262,0.8,0.35593072,18.15983,4118.7319,1.0397297,4151.616,0.004374159,4.9256063,1.3,1.0397297
COLOMBIA,Upper Middle Income,COL,Latin America and the Caribbean,South America,2004-05,2005,,,,4.1653042,0.9,0.425089,15.964328,12752.13,1.5844663,4112.844,0.003881579,4.9923792,0.9,1.5844663
COLOMBIA,Upper Middle Income,COL,Latin America and the Caribbean,South America,2009-10,2010,,,,4.8288918,,0.16527897,12.595284,15774.579,0.89900744,3929.005,0.003205718,3.3963089,,0.89900744
COMOROS,Low Income,COM,Africa,Eastern Africa,1991-92,1992,,,,,3.6,,38.5,1954,5.3,77.982,0.493703675,15.2,2.3,5.3
COMOROS,Low Income,COM,Africa,Eastern Africa,1996,1996,,,,5.3,2.3,4.5,40,1005,10.7,83.016,0.481834827,21.1,2.7,10.7
COMOROS,Low Income,COM,Africa,Eastern Africa,2000,2000,,,,21.451267,2.6,7.2003818,46.937691,4313.6792,13.271202,88.752,0.528863473,25.070494,3,13.271202
COMOROS,Low Income,COM,Africa,Eastern Africa,2012,2012,,,,10.579495,2,4.4594254,31.116522,3168.894,11.269274,111.399,0.279324967,16.941406,3.2,11.269274
CONGO,Lower Middle Income,COG,Africa,Middle Africa,1987,1987,,,,1.6,2.1,,30.1,2429,6.6,379.792,0.079253907,16.4,4.6,6.6
CONGO,Lower Middle Income,COG,Africa,Middle Africa,2005,2005,,,,8.543644,4.2,3.0132315,31.217068,4697.4268,8.0233488,615.452,0.050722181,11.852617,5.1,8.0233488
CONGO,Lower Middle Income,COG,Africa,Middle Africa,2011-12,2011,,,,3.4756291,5.2,1.665729,24.438126,4648.2837,6.0216694,754.671,0.03238249,11.768783,6.1,6.0216694
CONGO,Lower Middle Income,COG,Africa,Middle Africa,2014-15,2015,,,,5.9118247,,2.6476259,21.187216,8756.9189,8.1692715,813.95,0.02603012,12.254036,,8.1692715
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1989,1989,,,,,1.8,,,197000,,395.318,,2.4,0.2,
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1990,1990,,,,,0.9,,,190000,,400.13,,2.5,0.6,
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1991,1991,,,,,0.8,,,191000,,402.564,,2.2,0.9,
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1992,1992,,,,,1,,,176935,,404.279,,2,1.4,
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1993,1993,,,,,0.8,,,174000,,405.242,,2,0.6,
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1994,1994,,,,,,,,161000,,405.646,,1.9,,
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,1996,1996,,,,9.5,4,,8.2,1008,2.4,404.294,0.02028227,3.8,8.8,2.4
COSTA RICA,Upper Middle Income,CRI,Latin America and the Caribbean,Central America,2008-09,2008,,,,8.1,,,5.6,351,1,356.955,0.015688252,1.1,,1
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,1986,1986,,,,,,,22.5,1947,10.3,1959.655,0.011481613,10.8,,10.3
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,1994,1994,,,,2.5,,2.2,34.2,3486,8.3,2454.409,0.013934108,20.3,,8.3
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,1998-99,1998,,,,4.5823321,6.7,1.9031409,31.159153,1690.2708,6.8503032,2757.551,0.011299575,18.191515,3.9,6.8503032
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,2006,2006,,,,8.8590803,5.6,3.3941221,40.470974,8482.0029,9.0419674,3146.3,0.012863037,16.518969,2.9,9.0419674
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,2007,2007,,,,4.9,1.2,5.4,39,854,14,3188.212,0.012232562,29.4,1.7,14
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,2011-12,2012,,,,3.2259352,1.7,1.7896423,29.894278,3680.4785,7.6064138,3511.797,0.00851253,15.740574,2.3,7.6064138
COTE D'IVOIRE,Lower Middle Income,CIV,Africa,Western Africa,2016,2016,,,,1.4660718,,1.2263795,21.62928,8809.1055,6.0509481,3860.612,0.005602552,12.783151,,6.0509481
CUBA,Upper Middle Income,CUB,Latin America and the Caribbean,Caribbean,2000,2000,,,,,1,,7,1571,2.4,753.523,0.009289697,3.4,1.8,2.4
CZECHIA,High Income,CZE,Europe,Eastern Europe,1991,1991,,,,6.7,0.9,,3.1,32345,2.8,669.528,0.004630127,0.9,0.7,2.8
CZECHIA,High Income,CZE,Europe,Eastern Europe,2001-02,2001,,,,4.4,4.6,1,2.6,16932,4.6,417.626,0.006225666,2.1,3.1,4.6
KOREA,Low Income,PRK,Asia,Eastern Asia,1998,1998,,,,,5.8,,63.9,1263,20.8,2064.233,0.030955808,55.5,7.1,20.8
KOREA,Low Income,PRK,Asia,Eastern Asia,2000,2000,,,,,3.7,,51,4175,12.2,1987.652,0.025658415,24.7,3.6,12.2
KOREA,Low Income,PRK,Asia,Eastern Asia,2002,2002,,,,0.9,,3.5,44.7,5297,8.7,1931.561,0.023141904,17.8,,8.7
KOREA,Low Income,PRK,Asia,Eastern Asia,2004,2004,,,,,3.8,,43.1,4795,8.5,1924.503,0.022395392,20.6,3.7,8.5
KOREA,Low Income,PRK,Asia,Eastern Asia,2009,2009,,,,0,,0.5,32.4,2172,5.2,1773.511,0.018268846,18.8,,5.2
KOREA,Low Income,PRK,Asia,Eastern Asia,2012,2012,,,,,,0.6,27.9,8036,4,1696.64,0.016444266,15.2,,4
KOREA,Low Income,PRK,Asia,Eastern Asia,2017,2017,,,,2.3,2.1,0.5,19.1,2271,2.5,1733.371,0.011018991,9.3,2.3,2.5
CONGO,Low Income,COD,Africa,Middle Africa,1995,1995,,,,,2.2,,51,4362,11.4,7692.582,0.006629764,30.7,2.2,11.4
CONGO,Low Income,COD,Africa,Middle Africa,2001,2001,,,,6.4622173,3.6,11.94998,44.41972,9170.1982,20.899506,8927.312,0.00497571,33.625256,4.4,20.899506
CONGO,Low Income,COD,Africa,Middle Africa,2007,2007,,,,7.0397606,2.5,4.8172264,45.751488,4148.707,10.359062,10986.314,0.004164407,25.556587,2,10.359062
CONGO,Low Income,COD,Africa,Middle Africa,2010,2010,,,,4.6686707,3,5.2219634,43.397095,10783.633,10.653668,12126.623,0.003578663,25.585455,2,10.653668
CONGO,Low Income,COD,Africa,Middle Africa,2013-14,2013,,,,4.4474916,,2.85991,42.691772,9397.1709,8.1322651,13347.831,0.003198405,23.374073,,8.1322651
DJIBOUTI,Lower Middle Income,DJI,Africa,Eastern Africa,1989,1989,,,,,6.3,,28,3750,12.5,103.074,0.271649495,20.2,7.3,12.5
DJIBOUTI,Lower Middle Income,DJI,Africa,Eastern Africa,1996,1996,,,,,1.6,,31.7,,14.9,96.752,0.327641806,16,1.4,14.9
DJIBOUTI,Lower Middle Income,DJI,Africa,Eastern Africa,2002,2002,,,,8.3818741,3.7,9.5313101,26.803389,1425.259,19.42795,105.119,0.254981393,24.358099,2.6,19.42795
DJIBOUTI,Lower Middle Income,DJI,Africa,Eastern Africa,2012,2012,,,,8.1429052,2.2,9.2132673,33.508377,3152.5178,21.59837,99.067,0.338239545,29.907686,2.6,21.59837
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,1986,1986,,,,3.8,,1,20.4,1794,3.3,961.232,0.021222764,8.7,,3.3
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,1991,1991,,,,4.2433085,,0.62361819,21.096813,2990.6108,2.1496718,993.17,0.021241895,8.4287701,,2.1496718
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,1996,1996,,,,6.6696362,,0.61248702,13.504863,3565.2734,2.0442615,1032.126,0.01308451,4.736073,,2.0442615
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,2000,2000,,,,6.8545384,,0.52597439,7.6856866,1868.5208,1.4929434,1019.829,0.00753625,3.3387921,,1.4929434
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,2002,2002,,,,8.6281414,3.4,0.77150029,11.633684,10666.054,2.2397168,1022.131,0.011381794,4.1915131,3.2,2.2397168
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,2006,2006,,,,7.4,3.6,,10.5,3782,1.9,1065.649,0.009853151,4.6,4.8,1.9
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,2007,2007,,,,8.3012562,2.8,0.86987132,10.057311,10769.824,2.2957687,1070.143,0.0093981,3.3756897,2.3,2.2957687
DOMINICAN REPUBLIC,Upper Middle Income,DOM,Latin America and the Caribbean,Caribbean,2013,2013,,,,7.6200695,3.9,0.84415841,7.1238279,3667.3843,2.3777995,1063.448,0.006698802,4.0107284,2.7,2.3777995
ECUADOR,Upper Middle Income,ECU,Latin America and the Caribbean,South America,1986,1986,,,,,1.9,,40.2,7798,2.3,1335.518,0.03010068,14.5,2.5,2.3
ECUADOR,Upper Middle Income,ECU,Latin America and the Caribbean,South America,1998,1998,,,,2.555655,1.6,0.39288551,27.879784,1368535.5,2.6863496,1507.441,0.018494776,10.424449,1.3,2.6863496
ECUADOR,Upper Middle Income,ECU,Latin America and the Caribbean,South America,2004,2004,,,,5.2882018,,0.66045243,29.21018,5263.2949,2.0298884,1515.492,0.019274387,6.6525249,,2.0298884
ECUADOR,Upper Middle Income,ECU,Latin America and the Caribbean,South America,2005-06,2006,,,,5.2093854,,0.49580139,25.930929,1438765.3,2.1274192,1518.099,0.017081184,6.762094,,2.1274192
ECUADOR,Upper Middle Income,ECU,Latin America and the Caribbean,South America,2012-13,2012,,,,7.5259552,2,0.70793748,25.356352,1621517.6,2.3670926,1603.808,0.015810092,6.4019313,2,2.3670926
ECUADOR,Upper Middle Income,ECU,Latin America and the Caribbean,South America,2013-14,2014,,,,8.0489979,2.4,0.58617938,23.936787,1523945.9,1.6271117,1607.961,0.014886423,5.0710711,4.4,1.6271117
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,1988,1988,,,,6.9,2.6,0.6,34,2077,1.9,8787.823,0.00386899,9.4,2.1,1.9
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,1991,1991,,,,14.9,1.3,2.3,34.9,3614,4.5,9132.702,0.003821432,10.5,1.6,4.5
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,1992-93,1993,,,,14.339024,0.3,1.8322488,31.056818,7644.4429,4.0164871,8873.349,0.003500011,8.2350903,0.5,4.0164871
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,1995-96,1995,,,,14.595831,0.3,2.2730703,34.798801,10225.617,5.7081027,8510.313,0.004089015,10.772865,0.5,5.7081027
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,1997-98,1997,,,,,5,,30.9,3328,7.5,8156.704,0.003788295,10.2,4.7,7.5
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,1998,1998,,,,,5.5,,26.3,3997,6.4,8158.771,0.003223525,9.4,5.8,6.4
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,2000,2000,,,,,,,24.397682,10675,,8272.629,0.002949205,,,
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,2003,2003,,,,9.1635742,,1.806066,20.233517,5940.0991,5.2365217,8696.987,0.002326497,8.6571064,,5.2365217
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,2005,2005,,,,14.094133,5.5,2.4798737,23.860926,12827.858,5.326282,9000.943,0.002650936,5.4384861,4,5.326282
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,2008,2008,,,,20.432131,4.1,3.7943878,30.678219,10047.203,7.9429574,9427.461,0.003254134,6.7888126,3.5,7.9429574
EGYPT,Lower Middle Income,EGY,Africa,Northern Africa,2014,2014,,,,15.678528,4.5,4.820683,22.264397,14898.939,9.4919424,11982.539,0.00185807,6.9856815,5.7,9.4919424
EL SALVADOR,Lower Middle Income,SLV,Latin America and the Caribbean,Central America,1988,1988,,,,3,6.1,0.5,36.7,2002,2.2,738.903,0.049668224,11.1,4.4,2.2
EL SALVADOR,Lower Middle Income,SLV,Latin America and the Caribbean,Central America,1993,1993,,,,3.9,5.9,0.4,29.5,3598,1.4,764.618,0.038581357,7.2,4.9,1.4
EL SALVADOR,Lower Middle Income,SLV,Latin America and the Caribbean,Central America,1998,1998,,,,3.891135,1.7,0.40602359,32.27771,13788.422,1.5091398,772.357,0.041791179,9.6531067,1.4,1.5091398
EL SALVADOR,Lower Middle Income,SLV,Latin America and the Caribbean,Central America,2002-03,2003,,,,5.7715535,1.5,0.28179899,24.609095,6367.7578,1.3093545,687.987,0.035769709,6.144486,2.9,1.3093545
EL SALVADOR,Lower Middle Income,SLV,Latin America and the Caribbean,Central America,2008,2008,,,,5.6773076,5.8,0.47102273,20.789265,605724.13,1.5873615,611.036,0.034022979,6.6793227,8.2,1.5873615
EL SALVADOR,Lower Middle Income,SLV,Latin America and the Caribbean,Central America,2014,2014,,,,6.3836904,3.7,0.37959984,13.648426,7228.626,2.1387362,584.868,0.023335908,4.9590664,6.1,2.1387362
EQUATORIAL GUINEA,Upper Middle Income,GNQ,Africa,Middle Africa,1997,1997,,,,3.4,2.5,2.5,38.7,412,4,90.985,0.425344837,13.8,2.9,4
EQUATORIAL GUINEA,Upper Middle Income,GNQ,Africa,Middle Africa,2000,2000,,,,13.947864,2.4,4.248836,42.641628,2429.4224,9.2375946,102.044,0.417874917,15.685971,2.8,9.2375946
EQUATORIAL GUINEA,Upper Middle Income,GNQ,Africa,Middle Africa,2004,2004,,,,8.3,4.4,1.3,35,33334,2.8,118.949,0.294243752,10.6,3.7,2.8
EQUATORIAL GUINEA,Upper Middle Income,GNQ,Africa,Middle Africa,2011,2011,,,,9.7,2.3,1.7,26.2,1094,3.1,155.894,0.168062915,5.6,2,3.1
ERITREA,Low Income,ERI,Africa,Eastern Africa,1993,1993,,,,,4.9,,69.6,,11.8,536.756,0.129667857,36.9,4.2,11.8
ERITREA,Low Income,ERI,Africa,Eastern Africa,1995-96,1995,,,,1.3,2,5.1,47.8,2371,17,516.888,0.092476513,39.6,1.7,17
ERITREA,Low Income,ERI,Africa,Eastern Africa,2002,2002,,,,1.6349442,1.2,4.7617817,42.996681,5721.0513,15.023441,552.486,0.077824019,34.306416,2,15.023441
ERITREA,Low Income,ERI,Africa,Eastern Africa,2010,2010,,,,1.9825972,,4.4978228,52.02895,6633.8979,15.26218,715.42,0.072725043,39.392204,,15.26218
ESWATINI,Lower Middle Income,SWZ,Africa,Southern Africa,2000,2000,,,,14.929735,0.4,0.73383683,36.493187,3405.7703,1.6860696,157.286,0.232018024,9.1087065,0.5,1.6860696
ESWATINI,Lower Middle Income,SWZ,Africa,Southern Africa,2006-07,2006,,,,11.112002,0.7,1.2673087,29.216513,3029.3938,2.8926272,159.558,0.183109045,6.0231438,0.4,2.8926272
ESWATINI,Lower Middle Income,SWZ,Africa,Southern Africa,2008,2008,,,,,0.6,0.3,40.4,3817,1.1,163.95,0.24641659,7.3,0.4,1.1
ESWATINI,Lower Middle Income,SWZ,Africa,Southern Africa,2010,2010,,,,10.680742,,0.68212831,30.944187,2572.0374,1.084078,169.062,0.183034549,6.1927953,,1.084078
ESWATINI,Lower Middle Income,SWZ,Africa,Southern Africa,2014,2014,,,,8.9904671,,0.35110381,25.549469,2640.6304,1.9978695,176.879,0.144446028,5.7913952,,1.9978695
ETHIOPIA,Low Income,ETH,Africa,Eastern Africa,1992,1992,,,,,7.4,,66.9,20230,9.2,9725.637,0.006878727,41.9,6.7,9.2
ETHIOPIA,Low Income,ETH,Africa,Eastern Africa,2000,2000,,,,1.9748662,,3.821583,57.586098,10901.255,12.364738,12409.891,0.004640339,41.975262,,12.364738
ETHIOPIA,Low Income,ETH,Africa,Eastern Africa,2005,2005,,,,5.0679793,7.8,4.6742568,50.390236,5014.6182,12.393489,13485.013,0.003736758,34.412689,8.3,12.393489
ETHIOPIA,Low Income,ETH,Africa,Eastern Africa,2010-11,2011,,,,1.8456683,,2.8751667,44.392742,11223.662,9.7781401,14053.5,0.003158839,29.188999,,9.7781401
ETHIOPIA,Low Income,ETH,Africa,Eastern Africa,2014,2014,,,,2.6,,2.5,40.4,4921,8.7,14688.673,0.002750419,25.2,,8.7
ETHIOPIA,Low Income,ETH,Africa,Eastern Africa,2016,2016,,,,2.9184411,,3.0141106,38.403637,10552.006,9.9917288,15177.181,0.002530354,23.572878,,9.9917288
FIJI,Upper Middle Income,FJI,Oceania,Melanesia,1993,1993,,,,2.2,,,4.3,618,9.8,98.52,0.04364596,6.9,,9.8
FIJI,Upper Middle Income,FJI,Oceania,Melanesia,2004,2004,,,,5.1,,2,7.5,818,6.3,89.952,0.083377801,5.3,,6.3
GABON,Upper Middle Income,GAB,Africa,Middle Africa,2000-01,2000,,,,5.5234795,,1.4780402,25.850281,3178.8333,4.2156229,185.356,0.139462877,8.9912462,,4.2156229
GABON,Upper Middle Income,GAB,Africa,Middle Africa,2012,2012,,,,7.7087173,,1.3188047,17.030087,3998.6172,3.4481785,247.01,0.068944929,6.3593907,,3.4481785
GAMBIA,Low Income,GMB,Africa,Western Africa,1996,1996,,,,,,,36.1,2401,,208.089,0.173483461,23.2,,
GAMBIA,Low Income,GMB,Africa,Western Africa,2000,2000,,,,2.9589207,,2.5314438,24.09177,2595.9651,9.1124344,232.559,0.103594228,15.388915,,9.1124344
GAMBIA,Low Income,GMB,Africa,Western Africa,2005-06,2006,,,,2.7184558,3.7,1.8272904,27.668524,6420.9585,7.3709173,279.808,0.098883963,15.826631,2.7,7.3709173
GAMBIA,Low Income,GMB,Africa,Western Africa,2010,2010,,,,1.915372,3.7,2.2337811,23.428915,11479.896,9.6965647,310.434,0.075471485,17.580521,2.9,9.6965647
GAMBIA,Low Income,GMB,Africa,Western Africa,2012,2012,,,,1.1466492,3,1.6105049,21.164455,7050.1138,9.5601778,327.281,0.064667533,18.029774,3.1,9.5601778
GAMBIA,Low Income,GMB,Africa,Western Africa,2013,2013,,,,3.1888788,1.4,4.3219166,24.568148,3679.8691,11.036591,335.659,0.073193771,16.481188,1.1,11.036591
GEORGIA,Lower Middle Income,GEO,Asia,Western Asia,1999,1999,,,,17.9,2.3,,16.1,3434,3.1,301.226,0.053448242,2.7,6.4,3.1
GEORGIA,Lower Middle Income,GEO,Asia,Western Asia,2005,2005,,,,20.848196,0,1.085597,14.592892,1923.7134,2.9904792,249.646,0.058454339,2.3513658,3,2.9904792
GEORGIA,Lower Middle Income,GEO,Asia,Western Asia,2009,2009,,,,19.9,9.4,0.6,11.3,3020,1.6,273.752,0.041278237,1.1,6.2,1.6
GERMANY,High Income,DEU,Europe,Western Europe,2003-06,2005,,,,3.5,2.8,0.1,1.3,4667,1,3599.277,0.000361184,1.1,2.5,1
GHANA,Lower Middle Income,GHA,Africa,Western Africa,1988,1988,,,,0.8,3.7,1.6,42.6,1934,7,2368.05,0.017989485,24.8,1.6,7
GHANA,Lower Middle Income,GHA,Africa,Western Africa,1993-94,1993,,,,2.5,0,3.8,41.2,1970,10.9,2602.14,0.015833122,25.8,1.7,10.9
GHANA,Lower Middle Income,GHA,Africa,Western Africa,1998-99,1999,,,,2.6586766,0,2.4877067,30.639626,2656.4783,9.8796854,2916.815,0.01050448,20.128111,2.6,9.8796854
GHANA,Lower Middle Income,GHA,Africa,Western Africa,2003,2003,,,,4.453671,1.9,2.7963493,35.444675,3355.7544,8.3880558,3135.894,0.011302893,19.042812,1.6,8.3880558
GHANA,Lower Middle Income,GHA,Africa,Western Africa,2006,2006,,,,2.5899117,3,1.7768049,27.936357,3236.6553,5.9651113,3301.68,0.008461255,13.939447,2.8,5.9651113
GHANA,Lower Middle Income,GHA,Africa,Western Africa,2008,2008,,,,5.6854963,0,2.4389908,28.366943,2707.6316,8.7167482,3455.835,0.008208419,14.379745,5.9,8.7167482
GHANA,Lower Middle Income,GHA,Africa,Western Africa,2011,2011,,,,2.5128543,3.6,2.2109911,22.751577,7373.9961,6.9301233,3728.445,0.006102162,14.018371,4.4,6.9301233
GHANA,Lower Middle Income,GHA,Africa,Western Africa,2014,2014,,,,2.6365991,1.6,0.71467525,18.795174,2911.436,4.6969442,3963.27,0.00474234,11.170603,1.7,4.6969442
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,1987,1987,,,,2.4,3.8,0.4,66.2,2227,1.9,1530.355,0.043257937,27.9,3.4,1.9
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,1995,1995,,,,6.2052722,3.2,1.4755983,55.421997,8027.5088,3.8072646,1766.975,0.031365468,21.731512,3.7,3.8072646
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,1998-99,1999,,,,6.9116817,4.5,1.4105403,53.124981,3761.6025,2.9061394,1874.563,0.028339928,20.322075,3.1,2.9061394
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,2000,2000,,,,7.3455267,1.7,1.6303616,51.013184,1684954,3.7076819,1895.158,0.026917642,18.799267,1.2,3.7076819
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,2002,2002,,,,5.1631193,5,0.84218216,54.766781,5625.1377,1.9316051,1931.725,0.028351231,18.202192,4.6,1.9316051
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,2008-09,2009,,,,4.9,1.8,0.2,48,8647,1.1,1956.264,0.024536566,13,1.9,1.1
GUATEMALA,Upper Middle Income,GTM,Latin America and the Caribbean,Central America,2014-15,2015,,,,4.9444418,4.3,0.14144707,46.713612,12608.687,0.75206643,1994.029,0.023426747,12.357866,3.1,0.75206643
GUINEA,Low Income,GIN,Africa,Western Africa,1994-95,1994,,,,,,,35.3,3542,14,1353.171,0.026086873,21.2,,14
GUINEA,Low Income,GIN,Africa,Western Africa,1999,1999,,,,4.3625722,2.2,3.9833705,31.053301,3097.5874,9.7084398,1524.316,0.020371958,20.017118,1.9,9.7084398
GUINEA,Low Income,GIN,Africa,Western Africa,2005,2005,,,,5.1765251,1.1,4.2291918,39.249599,2902.8191,10.978911,1659.749,0.023647912,22.721277,0.9,10.978911
GUINEA,Low Income,GIN,Africa,Western Africa,2007-08,2007,,,,,1,2.8,40,11781,8.3,1720.787,0.023245178,20.8,1.6,8.3
GUINEA,Low Income,GIN,Africa,Western Africa,2011-12,2011,,,,3.0708175,0.9,1.0955849,34.083679,6966.5117,5.1129713,1839.659,0.018527172,15.808752,0.5,5.1129713
GUINEA,Low Income,GIN,Africa,Western Africa,2012,2012,,,,3.782342,1.1,4.0565991,31.106245,3674.0166,9.970974,1866.37,0.016666709,18.75477,1.2,9.970974
GUINEA,Low Income,GIN,Africa,Western Africa,2016,2016,,,,3.9907629,,2.9445667,32.416702,7138.314,8.0911913,1982.894,0.016348177,18.280352,,8.0911913
GUINEA-BISSAU,Low Income,GNB,Africa,Western Africa,2000,2000,,,,5.0348692,2.8,4.7537193,33.818115,4497.251,11.780996,213.452,0.158434285,19.796179,1.6,11.780996
GUINEA-BISSAU,Low Income,GNB,Africa,Western Africa,2006,2006,,,,16.911547,2.7,4.4989858,47.733776,5281.8516,8.8122892,232.971,0.204891493,17.421549,3.7,8.8122892
GUINEA-BISSAU,Low Income,GNB,Africa,Western Africa,2010,2010,,,,3.2,1.9,0.9,32.2,12420,5.8,255.954,0.125803855,18.1,3,5.8
GUINEA-BISSAU,Low Income,GNB,Africa,Western Africa,2014,2014,,,,2.325506,1.3,1.3958701,27.613249,7459.9326,5.9629426,280.446,0.098461911,17.025219,1.9,5.9629426
GUYANA,Upper Middle Income,GUY,Latin America and the Caribbean,South America,1993,1993,,,,,3.5,,,581,,94.653,,16.1,4.7,
GUYANA,Upper Middle Income,GUY,Latin America and the Caribbean,South America,1997,1997,,,,1.9,2.9,,14,289,13.3,102.931,0.136013446,10.3,4.5,13.3
GUYANA,Upper Middle Income,GUY,Latin America and the Caribbean,South America,2000,2000,,,,5.5235457,,4.3062468,13.852908,2562.4023,12.104387,95.937,0.144395885,11.904778,,12.104387
GUYANA,Upper Middle Income,GUY,Latin America and the Caribbean,South America,2006-07,2006,,,,6.8168654,3.8,2.6237359,17.938662,2266.8667,8.3263206,81.19,0.220946693,10.765437,3.8,8.3263206
GUYANA,Upper Middle Income,GUY,Latin America and the Caribbean,South America,2009,2009,,,,6.7235618,3,1.2497848,19.273422,1655.7567,5.5959883,75.544,0.255128428,11.007328,3,5.5959883
GUYANA,Upper Middle Income,GUY,Latin America and the Caribbean,South America,2014,2014,,,,5.2534642,,1.7157131,11.270885,3133.6956,6.4288406,74.768,0.15074477,8.1915722,,6.4288406
HAITI,Low Income,HTI,Latin America and the Caribbean,Caribbean,1990,1990,,,,,2.9,,40.1,1843,5.9,1158.574,0.034611514,23.7,3,5.9
